uid,site,date,zone,easting,northing,lattitude,longitude,datum,factor,count,north_sp01,north_l_sp01,north_d_sp01,north_sp02,north_l_sp02,north_d_sp02,north_sp03,north_l_sp03,north_d_sp03,north_sp04,north_l_sp04,north_d_sp04,north_sp05,north_l_sp05,north_d_sp05,north_sp06,north_l_sp06,north_d_sp06,north_sp07,north_l_sp07,north_d_sp07,north_sp08,north_l_sp08,north_d_sp08,north_sp09,north_l_sp09,north_d_sp09,north_sp10,north_l_sp10,north_d_sp10,north_sp11,north_l_sp11,north_d_sp11,cent_sp01,cent_l_sp01,cent_d_sp01,cent_sp02,cent_l_sp02,cent_d_sp02,cent_sp03,cent_l_sp03,cent_d_sp03,cent_sp04,cent_l_sp04,cent_d_sp04,cent_sp05,cent_l_sp05,cent_d_sp05,cent_sp06,cent_l_sp06,cent_d_sp06,cent_sp07,cent_l_sp07,cent_d_sp07,cent_sp08,cent_l_sp08,cent_d_sp08,cent_sp09,cent_l_sp09,cent_d_sp09,cent_sp10,cent_l_sp10,cent_d_sp10,cent_sp11,cent_l_sp11,cent_d_sp11,south_sp01,south_l_sp01,south_d_sp01,south_sp02,south_l_sp02,south_d_sp02,south_sp03,south_l_sp03,south_d_sp03,south_sp04,south_l_sp04,south_d_sp04,south_sp05,south_l_sp05,south_d_sp05,south_sp06,south_l_sp06,south_d_sp06,south_sp07,south_l_sp07,south_d_sp07,south_sp08,south_l_sp08,south_d_sp08,south_sp09,south_l_sp09,south_d_sp09,south_sp10,south_l_sp10,south_d_sp10,south_sp11,south_l_sp11,south_d_sp11,se_sp01,se_l_sp01,se_d_sp01,se_sp02,se_l_sp02,se_d_sp02,se_sp03,se_l_sp03,se_d_sp03,se_sp04,se_l_sp04,se_d_sp04,se_sp05,se_l_sp05,se_d_sp05,se_sp06,se_l_sp06,se_d_sp06,se_sp07,se_l_sp07,se_d_sp07,se_sp08,se_l_sp08,se_d_sp08,se_sp09,se_l_sp09,se_d_sp09,se_sp10,se_l_sp10,se_d_sp10,se_sp11,se_l_sp11,se_d_sp11,sw_sp01,sw_l_sp01,sw_d_sp01,sw_sp02,sw_l_sp02,sw_d_sp02,sw_sp03,sw_l_sp03,sw_d_sp03,sw_sp04,sw_l_sp04,sw_d_sp04,sw_sp05,sw_l_sp05,sw_d_sp05,sw_sp06,sw_l_sp06,sw_d_sp06,sw_sp07,sw_l_sp07,sw_d_sp07,sw_sp08,sw_l_sp08,sw_d_sp08,sw_sp09,sw_l_sp09,sw_d_sp09,sw_sp10,sw_l_sp10,sw_d_sp10,sw_sp11,sw_l_sp11,sw_d_sp11,ne_sp01,ne_l_sp01,ne_d_sp01,ne_sp02,ne_l_sp02,ne_d_sp02,ne_sp03,ne_l_sp03,ne_d_sp03,ne_sp04,ne_l_sp04,ne_d_sp04,ne_sp05,ne_l_sp05,ne_d_sp05,ne_sp06,ne_l_sp06,ne_d_sp06,ne_sp07,ne_l_sp07,ne_d_sp07,ne_sp08,ne_l_sp08,ne_d_sp08,ne_sp09,ne_l_sp09,ne_d_sp09,ne_sp10,ne_l_sp10,ne_d_sp10,ne_sp11,ne_l_sp11,ne_d_sp11,nw_sp01,nw_l_sp01,nw_d_sp01,nw_sp02,nw_l_sp02,nw_d_sp02,nw_sp03,nw_l_sp03,nw_d_sp03,nw_sp04,nw_l_sp04,nw_d_sp04,nw_sp05,nw_l_sp05,nw_d_sp05,nw_sp06,nw_l_sp06,nw_d_sp06,nw_sp07,nw_l_sp07,nw_d_sp07,nw_sp08,nw_l_sp08,nw_d_sp08,nw_sp09,nw_l_sp09,nw_d_sp09,nw_sp10,nw_l_sp10,nw_d_sp10,nw_sp11,nw_l_sp11,nw_d_sp11
,TNC14A,16/09/2015,,-19.98443,134.02597,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TNC15A,17/09/2015,,-19.76085,133.98227,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TNC16A,17/09/2015,,-19.60966,134.04231,,,,0.1,7,Tree,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,15,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,14,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,32,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TNC17A,19/09/2015,,-19.56878,134.3685,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TNC18A,20/09/2015,,-19.68415,134.57201,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TNC19A,20/09/2015,,-19.66934,134.44197,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tree,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WLR12A,5/08/2015 14:23,52,131.5155152,-15.45056638,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WLR13A,9/08/2015 10:37,52,131.4522716,-15.21057654,,,,0.1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WLR14A,9/08/2015 14:52,52,131.5347949,-15.35225455,,,,0.1,7,E. pruinosa,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. pruinosa,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. pruinosa,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. pruinosa,21,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. pruinosa,38,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. pruinosa,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E. pruinosa,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WLT06A,23/09/2015,,130.52678,-13.19609,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WMT07A,11/08/2015 9:59,52,780879,8331455,,,,0.1,7,Shrubs,29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shrubs,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shrubs,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shrubs,27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shrubs,23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shrubs,50,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shrubs,34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
