site_name,visit_date,latitude,longitude,species,ba_m2ha,uid,datum,geometry,co_ef_nme,leaves,leaves_r2,twigs,bark,bark_r2,wood,wood_r2,branches,branches_r2,stems,stems_r2,agb,agb_r2,root,root_r2,tot_bm,c_leaves,c_twigs,c_bark,c_wood,c_branches,c_stems,c_agb,c_roots,bio_l_kg1ha,bio_t_kg1ha,bio_b_kg1ha,bio_w_kg1ha,bio_br_kg1ha,bio_s_kg1ha,bio_r_kg1ha,bio_agb_kg1ha,c_l_kg1ha,c_t_kg1ha,c_b_kg1ha,c_w_kg1ha,c_br_kg1ha,c_s_kg1ha,c_r_kg1ha,c_agb_kg1ha
NTAARP0001,20160602,-13.55729,132.2701,Acacia mimula,1.05,1,gda94,POINT (132.2701 -13.55729),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,97.65,101.85000000000001,397.95,1294.65,981.75,1692.6000000000001,2772.0,569.1,1114.6989999999983,1209.6575555555537,3360.251222222217,18298.821333333297,7796.6077777777655,21659.07255555552,5167.006444444436,30472.446666666616,2371.6999999999966,2468.6888888888852,6857.655555555545,37344.53333333326,15911.44444444442,44202.18888888881,10544.911111111094,62188.66666666656
NTAARP0001,20160602,-13.55729,132.2701,Buchanania obovata,0.583333333333333,1,gda94,POINT (132.2701 -13.55729),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,54.24999999999997,56.58333333333331,221.08333333333323,719.2499999999997,545.4166666666664,940.3333333333328,1539.9999999999993,316.1666666666665,1114.6989999999983,1209.6575555555537,3360.251222222217,18298.821333333297,7796.6077777777655,21659.07255555552,5167.006444444436,30472.446666666616,2371.6999999999966,2468.6888888888852,6857.655555555545,37344.53333333326,15911.44444444442,44202.18888888881,10544.911111111094,62188.66666666656
NTAARP0001,20160602,-13.55729,132.2701,Erythrophleum chlorostachys,2.16666666666667,1,gda94,POINT (132.2701 -13.55729),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,333.6666666666672,346.6666666666672,868.8333333333347,2262.0000000000036,1763.6666666666695,3130.833333333338,5228.166666666675,1174.333333333335,1114.6989999999983,1209.6575555555537,3360.251222222217,18298.821333333297,7796.6077777777655,21659.07255555552,5167.006444444436,30472.446666666616,2371.6999999999966,2468.6888888888852,6857.655555555545,37344.53333333326,15911.44444444442,44202.18888888881,10544.911111111094,62188.66666666656
NTAARP0001,20160602,-13.55729,132.2701,Eucalyptus tetrodonta,14.8333333333333,1,gda94,POINT (132.2701 -13.55729),Eute,122.0,0.84,127.0,341.0,0.99,2161.0,0.93,799.0,0.85,2502.0,0.95,3403.0,0.97,542.0,0.57,3945.0,1809.6666666666626,1883.8333333333292,5058.166666666655,32054.833333333263,11851.833333333307,37112.99999999992,50477.83333333322,8039.666666666649,1114.6989999999983,1209.6575555555537,3360.251222222217,18298.821333333297,7796.6077777777655,21659.07255555552,5167.006444444436,30472.446666666616,2371.6999999999966,2468.6888888888852,6857.655555555545,37344.53333333326,15911.44444444442,44202.18888888881,10544.911111111094,62188.66666666656
NTAARP0001,20160602,-13.55729,132.2701,Owenia vernicosa,0.2,1,gda94,POINT (132.2701 -13.55729),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4,1114.6989999999983,1209.6575555555537,3360.251222222217,18298.821333333297,7796.6077777777655,21659.07255555552,5167.006444444436,30472.446666666616,2371.6999999999966,2468.6888888888852,6857.655555555545,37344.53333333326,15911.44444444442,44202.18888888881,10544.911111111094,62188.66666666656
NTAARP0001,20160602,-13.55729,132.2701,Terminalia ferdinandiana,0.622222222222222,1,gda94,POINT (132.2701 -13.55729),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,57.866666666666646,60.35555555555553,235.82222222222214,767.1999999999997,581.7777777777776,1003.0222222222219,1642.666666666666,337.24444444444435,1114.6989999999983,1209.6575555555537,3360.251222222217,18298.821333333297,7796.6077777777655,21659.07255555552,5167.006444444436,30472.446666666616,2371.6999999999966,2468.6888888888852,6857.655555555545,37344.53333333326,15911.44444444442,44202.18888888881,10544.911111111094,62188.66666666656
NTAARP0002,20160602,-13.54561,132.2944,Acacia mimula,0.894444444444444,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,83.1833333333333,86.76111111111108,338.9944444444443,1102.8499999999995,836.3055555555552,1441.8444444444438,2361.333333333332,484.78888888888866,885.5236055555558,961.609483333334,3075.56693888889,13170.989572222228,7308.612694444447,16246.55651111112,4547.172233333335,24414.13022222223,1884.0927777777786,1962.4683333333346,6276.667222222225,26879.57055555557,14915.536111111116,33156.237777777795,9279.943333333336,49824.755555555574
NTAARP0002,20160602,-13.54561,132.2944,Blepharocarya depauperata,0.75,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,69.75,72.75,284.25,924.75,701.25,1209.0,1980.0,406.5,885.5236055555558,961.609483333334,3075.56693888889,13170.989572222228,7308.612694444447,16246.55651111112,4547.172233333335,24414.13022222223,1884.0927777777786,1962.4683333333346,6276.667222222225,26879.57055555557,14915.536111111116,33156.237777777795,9279.943333333336,49824.755555555574
NTAARP0002,20160602,-13.54561,132.2944,Erythrophleum chlorostachys,1.66666666666667,2,gda94,POINT (132.2944 -13.54561),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,256.6666666666672,266.6666666666672,668.3333333333347,1740.0000000000036,1356.6666666666695,2408.333333333338,4021.6666666666747,903.3333333333352,885.5236055555558,961.609483333334,3075.56693888889,13170.989572222228,7308.612694444447,16246.55651111112,4547.172233333335,24414.13022222223,1884.0927777777786,1962.4683333333346,6276.667222222225,26879.57055555557,14915.536111111116,33156.237777777795,9279.943333333336,49824.755555555574
NTAARP0002,20160602,-13.54561,132.2944,Eucalyptus tetrodonta,6.55555555555556,2,gda94,POINT (132.2944 -13.54561),Eute,122.0,0.84,127.0,341.0,0.99,2161.0,0.93,799.0,0.85,2502.0,0.95,3403.0,0.97,542.0,0.57,3945.0,799.7777777777783,832.5555555555561,2235.4444444444457,14166.555555555564,5237.888888888892,16402.00000000001,22308.55555555557,3553.1111111111136,885.5236055555558,961.609483333334,3075.56693888889,13170.989572222228,7308.612694444447,16246.55651111112,4547.172233333335,24414.13022222223,1884.0927777777786,1962.4683333333346,6276.667222222225,26879.57055555557,14915.536111111116,33156.237777777795,9279.943333333336,49824.755555555574
NTAARP0002,20160602,-13.54561,132.2944,Gardenia megasperma,0.28,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,26.040000000000003,27.160000000000004,106.12,345.24,261.8,451.36000000000007,739.2,151.76000000000002,885.5236055555558,961.609483333334,3075.56693888889,13170.989572222228,7308.612694444447,16246.55651111112,4547.172233333335,24414.13022222223,1884.0927777777786,1962.4683333333346,6276.667222222225,26879.57055555557,14915.536111111116,33156.237777777795,9279.943333333336,49824.755555555574
NTAARP0002,20160602,-13.54561,132.2944,Grevillea pteridifolia,0.4,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,37.2,38.800000000000004,151.6,493.20000000000005,374.0,644.8000000000001,1056.0,216.8,885.5236055555558,961.609483333334,3075.56693888889,13170.989572222228,7308.612694444447,16246.55651111112,4547.172233333335,24414.13022222223,1884.0927777777786,1962.4683333333346,6276.667222222225,26879.57055555557,14915.536111111116,33156.237777777795,9279.943333333336,49824.755555555574
NTAARP0002,20160602,-13.54561,132.2944,Livistona humilis,3.375,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,313.875,327.375,1279.125,4161.375,3155.625,5440.5,8910.0,1829.25,885.5236055555558,961.609483333334,3075.56693888889,13170.989572222228,7308.612694444447,16246.55651111112,4547.172233333335,24414.13022222223,1884.0927777777786,1962.4683333333346,6276.667222222225,26879.57055555557,14915.536111111116,33156.237777777795,9279.943333333336,49824.755555555574
NTAARP0002,20160602,-13.54561,132.2944,Owenia vernicosa,3.0,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,279.0,291.0,1137.0,3699.0,2805.0,4836.0,7920.0,1626.0,885.5236055555558,961.609483333334,3075.56693888889,13170.989572222228,7308.612694444447,16246.55651111112,4547.172233333335,24414.13022222223,1884.0927777777786,1962.4683333333346,6276.667222222225,26879.57055555557,14915.536111111116,33156.237777777795,9279.943333333336,49824.755555555574
NTAARP0002,20160602,-13.54561,132.2944,Terminalia carpentariae,0.2,2,gda94,POINT (132.2944 -13.54561),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4,885.5236055555558,961.609483333334,3075.56693888889,13170.989572222228,7308.612694444447,16246.55651111112,4547.172233333335,24414.13022222223,1884.0927777777786,1962.4683333333346,6276.667222222225,26879.57055555557,14915.536111111116,33156.237777777795,9279.943333333336,49824.755555555574
NTAARP0003,20160603,-13.51697,132.4571,Buchanania obovata,0.75,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,69.75,72.75,284.25,924.75,701.25,1209.0,1980.0,406.5,628.2157083333333,682.3699166666667,2271.717583333333,9263.866499999998,5445.672166666666,11535.584083333331,3337.4553333333333,17598.352041666665,1336.6291666666666,1392.5916666666667,4636.158333333333,18905.85,11113.616666666667,23542.00833333333,6811.133333333333,35915.004166666666
NTAARP0003,20160603,-13.51697,132.4571,Corymbia dichromophloia,1.7375,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,161.5875,168.5375,658.5125,2142.3375,1624.5625,2800.85,4587.0,941.725,628.2157083333333,682.3699166666667,2271.717583333333,9263.866499999998,5445.672166666666,11535.584083333331,3337.4553333333333,17598.352041666665,1336.6291666666666,1392.5916666666667,4636.158333333333,18905.85,11113.616666666667,23542.00833333333,6811.133333333333,35915.004166666666
NTAARP0003,20160603,-13.51697,132.4571,Erythrophleum chlorostachys,0.916666666666667,3,gda94,POINT (132.4571 -13.51697),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,141.1666666666667,146.6666666666667,367.5833333333334,957.0000000000003,746.1666666666669,1324.5833333333337,2211.9166666666674,496.8333333333335,628.2157083333333,682.3699166666667,2271.717583333333,9263.866499999998,5445.672166666666,11535.584083333331,3337.4553333333333,17598.352041666665,1336.6291666666666,1392.5916666666667,4636.158333333333,18905.85,11113.616666666667,23542.00833333333,6811.133333333333,35915.004166666666
NTAARP0003,20160603,-13.51697,132.4571,Eucalyptus tetrodonta,3.8625,3,gda94,POINT (132.4571 -13.51697),Eute,122.0,0.84,127.0,341.0,0.99,2161.0,0.93,799.0,0.85,2502.0,0.95,3403.0,0.97,542.0,0.57,3945.0,471.22499999999997,490.53749999999997,1317.1125,8346.8625,3086.1375,9663.975,13144.0875,2093.475,628.2157083333333,682.3699166666667,2271.717583333333,9263.866499999998,5445.672166666666,11535.584083333331,3337.4553333333333,17598.352041666665,1336.6291666666666,1392.5916666666667,4636.158333333333,18905.85,11113.616666666667,23542.00833333333,6811.133333333333,35915.004166666666
NTAARP0003,20160603,-13.51697,132.4571,Eucalyptus tintinnans,2.5,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,232.5,242.5,947.5,3082.5,2337.5,4030.0,6600.0,1355.0,628.2157083333333,682.3699166666667,2271.717583333333,9263.866499999998,5445.672166666666,11535.584083333331,3337.4553333333333,17598.352041666665,1336.6291666666666,1392.5916666666667,4636.158333333333,18905.85,11113.616666666667,23542.00833333333,6811.133333333333,35915.004166666666
NTAARP0003,20160603,-13.51697,132.4571,Livistona inermis,0.2,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4,628.2157083333333,682.3699166666667,2271.717583333333,9263.866499999998,5445.672166666666,11535.584083333331,3337.4553333333333,17598.352041666665,1336.6291666666666,1392.5916666666667,4636.158333333333,18905.85,11113.616666666667,23542.00833333333,6811.133333333333,35915.004166666666
NTAARP0003,20160603,-13.51697,132.4571,Owenia vernicosa,2.0,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,186.0,194.0,758.0,2466.0,1870.0,3224.0,5280.0,1084.0,628.2157083333333,682.3699166666667,2271.717583333333,9263.866499999998,5445.672166666666,11535.584083333331,3337.4553333333333,17598.352041666665,1336.6291666666666,1392.5916666666667,4636.158333333333,18905.85,11113.616666666667,23542.00833333333,6811.133333333333,35915.004166666666
NTAARP0003,20160603,-13.51697,132.4571,Terminalia ferdinandiana,0.6,3,gda94,POINT (132.4571 -13.51697),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,55.8,58.199999999999996,227.4,739.8,561.0,967.1999999999999,1584.0,325.2,628.2157083333333,682.3699166666667,2271.717583333333,9263.866499999998,5445.672166666666,11535.584083333331,3337.4553333333333,17598.352041666665,1336.6291666666666,1392.5916666666667,4636.158333333333,18905.85,11113.616666666667,23542.00833333333,6811.133333333333,35915.004166666666
NTADAC0001,20130528,-13.15835,130.7779,Acacia aulacocarpa,2.0,4,gda94,POINT (130.7779 -13.15835),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,186.0,194.0,758.0,2466.0,1870.0,3224.0,5280.0,1084.0,763.1024444444444,828.4484444444442,2643.495555555555,13452.087055555552,6053.6151666666665,16095.582611111107,4274.3625555555545,22881.07266666666,1623.622222222222,1690.7111111111108,5394.888888888888,27453.23888888888,12354.316666666666,32848.12777777777,8723.188888888886,46696.06666666665
NTADAC0001,20130528,-13.15835,130.7779,Erythrophleum chlorostachys,1.1,4,gda94,POINT (130.7779 -13.15835),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,169.4,176.0,441.1,1148.4,895.4000000000001,1589.5000000000002,2654.3,596.2,763.1024444444444,828.4484444444442,2643.495555555555,13452.087055555552,6053.6151666666665,16095.582611111107,4274.3625555555545,22881.07266666666,1623.622222222222,1690.7111111111108,5394.888888888888,27453.23888888888,12354.316666666666,32848.12777777777,8723.188888888886,46696.06666666665
NTADAC0001,20130528,-13.15835,130.7779,Eucalyptus miniata,2.99444444444444,4,gda94,POINT (130.7779 -13.15835),Eumi,50.0,0.96,52.0,218.0,0.92,1829.0,0.95,375.0,0.79,2047.0,0.96,2472.0,0.96,542.0,0.57,3014.0,149.722222222222,155.71111111111088,652.7888888888879,5476.838888888881,1122.916666666665,6129.627777777769,7402.2666666666555,1622.9888888888865,763.1024444444444,828.4484444444442,2643.495555555555,13452.087055555552,6053.6151666666665,16095.582611111107,4274.3625555555545,22881.07266666666,1623.622222222222,1690.7111111111108,5394.888888888888,27453.23888888888,12354.316666666666,32848.12777777777,8723.188888888886,46696.06666666665
NTADAC0001,20130528,-13.15835,130.7779,Eucalyptus tetrodonta,6.5,4,gda94,POINT (130.7779 -13.15835),Eute,122.0,0.84,127.0,341.0,0.99,2161.0,0.93,799.0,0.85,2502.0,0.95,3403.0,0.97,542.0,0.57,3945.0,793.0,825.5,2216.5,14046.5,5193.5,16263.0,22119.5,3523.0,763.1024444444444,828.4484444444442,2643.495555555555,13452.087055555552,6053.6151666666665,16095.582611111107,4274.3625555555545,22881.07266666666,1623.622222222222,1690.7111111111108,5394.888888888888,27453.23888888888,12354.316666666666,32848.12777777777,8723.188888888886,46696.06666666665
NTADAC0001,20130528,-13.15835,130.7779,Livistona humilis,3.5,4,gda94,POINT (130.7779 -13.15835),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,325.5,339.5,1326.5,4315.5,3272.5,5642.0,9240.0,1897.0,763.1024444444444,828.4484444444442,2643.495555555555,13452.087055555552,6053.6151666666665,16095.582611111107,4274.3625555555545,22881.07266666666,1623.622222222222,1690.7111111111108,5394.888888888888,27453.23888888888,12354.316666666666,32848.12777777777,8723.188888888886,46696.06666666665
NTADAC0002,20160506,-12.73922,132.3403,Erythrophleum chlorostachys,0.827777777777778,5,gda94,POINT (132.3403 -12.73922),Erch,154.0,0.75,160.0,401.0,0.95,1044.0,0.92,814.0,0.62,1445.0,0.93,2413.0,0.82,542.0,0.57,2955.0,127.4777777777778,132.44444444444446,331.938888888889,864.2000000000002,673.8111111111112,1196.1388888888891,1997.4277777777781,448.6555555555556,662.2070222222223,718.9138444444445,2368.019188888889,12460.882933333336,5334.929444444444,14828.902122222224,3976.9129555555564,20805.217611111115,1408.9511111111115,1467.1711111111113,4832.692222222223,25430.37333333334,10887.611111111111,30263.06555555556,8116.148888888891,42459.62777777779
NTADAC0002,20160506,-12.73922,132.3403,Eucalyptus miniata,4.16666666666667,5,gda94,POINT (132.3403 -12.73922),Eumi,50.0,0.96,52.0,218.0,0.92,1829.0,0.95,375.0,0.79,2047.0,0.96,2472.0,0.96,542.0,0.57,3014.0,208.33333333333348,216.66666666666683,908.3333333333339,7620.8333333333385,1562.5000000000011,8529.166666666673,10300.000000000007,2258.333333333335,662.2070222222223,718.9138444444445,2368.019188888889,12460.882933333336,5334.929444444444,14828.902122222224,3976.9129555555564,20805.217611111115,1408.9511111111115,1467.1711111111113,4832.692222222223,25430.37333333334,10887.611111111111,30263.06555555556,8116.148888888891,42459.62777777779
NTADAC0002,20160506,-12.73922,132.3403,Eucalyptus tetrodonta,5.0,5,gda94,POINT (132.3403 -12.73922),Eute,122.0,0.84,127.0,341.0,0.99,2161.0,0.93,799.0,0.85,2502.0,0.95,3403.0,0.97,542.0,0.57,3945.0,610.0,635.0,1705.0,10805.0,3995.0,12510.0,17015.0,2710.0,662.2070222222223,718.9138444444445,2368.019188888889,12460.882933333336,5334.929444444444,14828.902122222224,3976.9129555555564,20805.217611111115,1408.9511111111115,1467.1711111111113,4832.692222222223,25430.37333333334,10887.611111111111,30263.06555555556,8116.148888888891,42459.62777777779
NTADAC0002,20160506,-12.73922,132.3403,Livistona humilis,4.75,5,gda94,POINT (132.3403 -12.73922),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,441.75,460.75,1800.25,5856.75,4441.25,7657.0,12540.0,2574.5,662.2070222222223,718.9138444444445,2368.019188888889,12460.882933333336,5334.929444444444,14828.902122222224,3976.9129555555564,20805.217611111115,1408.9511111111115,1467.1711111111113,4832.692222222223,25430.37333333334,10887.611111111111,30263.06555555556,8116.148888888891,42459.62777777779
NTADAC0002,20160506,-12.73922,132.3403,Terminalia ferdinandiana,0.23,5,gda94,POINT (132.3403 -12.73922),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,21.39,22.310000000000002,87.17,283.59000000000003,215.05,370.76,607.2,124.66000000000001,662.2070222222223,718.9138444444445,2368.019188888889,12460.882933333336,5334.929444444444,14828.902122222224,3976.9129555555564,20805.217611111115,1408.9511111111115,1467.1711111111113,4832.692222222223,25430.37333333334,10887.611111111111,30263.06555555556,8116.148888888891,42459.62777777779
NTAGFU0001,20120412,-18.90551,137.0693,Atalaya hemiglauca,0.25,6,gda94,POINT (137.0693 -18.90551),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,23.25,24.25,94.75,308.25,233.75,403.0,660.0,135.5,51.905625,56.441875,220.530625,717.451875,544.053125,937.9825000000001,315.37624999999997,1536.1499999999999,110.4375,115.18750000000001,450.0625,1464.1875,1110.3125,1914.2500000000002,643.625,3135.0
NTAGFU0001,20120412,-18.90551,137.0693,Corymbia terminalis,0.1,6,gda94,POINT (137.0693 -18.90551),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2,51.905625,56.441875,220.530625,717.451875,544.053125,937.9825000000001,315.37624999999997,1536.1499999999999,110.4375,115.18750000000001,450.0625,1464.1875,1110.3125,1914.2500000000002,643.625,3135.0
NTAGFU0001,20120412,-18.90551,137.0693,Eucalyptus pruinosa,0.7375,6,gda94,POINT (137.0693 -18.90551),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,68.5875,71.53750000000001,279.5125,909.3375000000001,689.5625,1188.8500000000001,1947.0000000000002,399.725,51.905625,56.441875,220.530625,717.451875,544.053125,937.9825000000001,315.37624999999997,1536.1499999999999,110.4375,115.18750000000001,450.0625,1464.1875,1110.3125,1914.2500000000002,643.625,3135.0
NTAGFU0001,20120412,-18.90551,137.0693,Grevillea striata,0.1,6,gda94,POINT (137.0693 -18.90551),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,9.3,9.700000000000001,37.9,123.30000000000001,93.5,161.20000000000002,264.0,54.2,51.905625,56.441875,220.530625,717.451875,544.053125,937.9825000000001,315.37624999999997,1536.1499999999999,110.4375,115.18750000000001,450.0625,1464.1875,1110.3125,1914.2500000000002,643.625,3135.0
NTAGFU0002,20120413,-18.91812,137.0522,Eucalyptus leucophloia,0.9,7,gda94,POINT (137.0522 -18.91812),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,83.7,87.3,341.1,1109.7,841.5,1450.8,2376.0,487.8,39.339,42.777,167.139,543.753,412.335,710.8919999999999,239.022,1164.24,83.7,87.3,341.1,1109.7,841.5,1450.8,487.8,2376.0
NTAGFU0003,20120414,-18.63437,137.1244,Eucalyptus leucophloia,3.66111111111111,8,gda94,POINT (137.1244 -18.63437),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,340.48333333333323,355.1277777777777,1387.5611111111107,4514.149999999999,3423.138888888888,5901.71111111111,9665.33333333333,1984.3222222222216,160.0271666666666,174.01261111111106,679.9049444444443,2211.933499999999,1677.338055555555,2891.8384444444437,972.3178888888885,4736.0133333333315,340.48333333333323,355.1277777777777,1387.5611111111107,4514.149999999999,3423.138888888888,5901.71111111111,1984.3222222222216,9665.33333333333
NTAGFU0004,20120415,-18.62406,137.1235,No basal,0.0,9,gda94,POINT (137.1235 -18.62406),Nobsl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NTAGFU0005,20120416,-18.65319,137.1211,Corymbia aspera,0.14,10,gda94,POINT (137.1211 -18.65319),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,13.020000000000001,13.580000000000002,53.06,172.62,130.9,225.68000000000004,369.6,75.88000000000001,52.342725,56.917175,222.38772500000002,723.493575,548.6346249999999,945.8812999999999,318.03204999999997,1549.086,111.3675,116.1575,453.8525,1476.5175,1119.6625,1930.37,649.045,3161.4
NTAGFU0005,20120416,-18.65319,137.1211,Corymbia dichromophloia,0.5375,10,gda94,POINT (137.1211 -18.65319),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,49.9875,52.137499999999996,203.7125,662.7375,502.5625,866.4499999999999,1419.0,291.325,52.342725,56.917175,222.38772500000002,723.493575,548.6346249999999,945.8812999999999,318.03204999999997,1549.086,111.3675,116.1575,453.8525,1476.5175,1119.6625,1930.37,649.045,3161.4
NTAGFU0005,20120416,-18.65319,137.1211,Corymbia polycarpa,0.32,10,gda94,POINT (137.1211 -18.65319),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,29.76,31.04,121.28,394.56,299.2,515.84,844.8000000000001,173.44,52.342725,56.917175,222.38772500000002,723.493575,548.6346249999999,945.8812999999999,318.03204999999997,1549.086,111.3675,116.1575,453.8525,1476.5175,1119.6625,1930.37,649.045,3161.4
NTAGFU0005,20120416,-18.65319,137.1211,Eucalyptus camaldulensis subsp. obtusa,0.2,10,gda94,POINT (137.1211 -18.65319),Tefe,93.0,0.89,97.0,379.0,0.92,1233.0,0.92,935.0,0.83,1612.0,0.92,2640.0,0.91,542.0,0.57,3182.0,18.6,19.400000000000002,75.8,246.60000000000002,187.0,322.40000000000003,528.0,108.4,52.342725,56.917175,222.38772500000002,723.493575,548.6346249999999,945.8812999999999,318.03204999999997,1549.086,111.3675,116.1575,453.8525,1476.5175,1119.6625,1930.37,649.045,3161.4
NTAGFU0006,20120418,-18.77869,136.8471,No basal,0.0,11,gda94,POINT (136.8471 -18.77869),Nobsl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
